site1_B1,369,1034,6.4625,160
site1_F1,324,975,8.125,120
site1_F2,327,1049,8.528455284552846,123
site1_F3,321,1012,8.649572649572649,117
site1_F4,332,1042,8.540983606557377,122
site2_B1,192,534,7.628571428571429,70
site2_F1,253,1006,10.16161616161616,99
site2_F2,194,362,8.044444444444444,45
site2_F3,162,278,6.95,40
site2_F4,148,215,7.962962962962963,27
site2_F5,181,298,6.7727272727272725,44
site2_F6,283,565,8.432835820895523,67
site2_F7,174,273,8.272727272727273,33
site2_F8,144,265,9.464285714285714,28
