site1_B1,7803,8468,52.925,160
site1_F1,7838,8483,70.69166666666666,120
site1_F2,8851,9569,77.79674796747967,123
site1_F3,8305,9138,78.1025641025641,117
site1_F4,8276,8982,73.62295081967213,122
site2_B1,4021,4363,62.32857142857143,70
site2_F1,8009,8759,88.47474747474747,99
site2_F2,2599,2766,61.46666666666667,45
site2_F3,2026,2142,53.55,40
site2_F4,1758,1825,67.5925925925926,27
site2_F5,2154,2270,51.59090909090909,44
site2_F6,4229,4511,67.32835820895522,67
site2_F7,2227,2326,70.48484848484848,33
site2_F8,2090,2211,78.96428571428571,28
